Milliseconds,X_Traori_Transformed,Y_Traori_Transformed,Z_Traori_Transformed,Fx_N,Fy_N,Fz_N,ACT_POSITION_X,ACT_POSITION_Y,ACT_POSITION_Z,ACT_POSITION_A,ACT_POSITION_C_Updated,ACT_OVERRIDE,SPINDLE_ROTATION_ANGLE,SPINDLE_SPEED,ACT_CURRENT_X,ACT_CURRENT_Y,ACT_CURRENT_Z,ACT_CURRENT_A,ACT_CURRENT_C,ACT_CURRENT_S,ACTIVE_TOOL_RADIUS,ACTIVE_TOOL_LENGTH,Zero_Offset_X,Zero_Offset_Y,Zero_Offset_Z,Zero_Offset_C
0.0,-212.766626,-139.0846094787364,-1.0100817786623366,-0.07629625,-0.747703254,0.3967405,20.2243576,187.373657,139.105515,2.95691552e-05,0.0,100,90.25454,0.0,-0.201660156,-0.155517578,1.62866211,-0.196655273,-0.250732422,0.0,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
0.05,-212.766626,-139.08480747872866,-1.0100967787645108,0.427259,-0.04577775,0.0305185,20.2243576,187.373459,139.1055,2.95691552e-05,0.0,100,90.25454,0.0,-0.203369141,-0.1640625,1.62182617,-0.186767578,-0.243591309,0.0,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
0.1,-212.766687,-139.08486647873642,-1.010081778794969,-0.10681475,0.53407377,0.366222,20.2242966,187.3734,139.105515,2.95691552e-05,0.0,100,90.25454,0.0,-0.210205078,-0.169189453,1.62695313,-0.18347168,-0.245178223,0.00341796875,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
0.15,-212.766687,-139.08486647873642,-1.010081778794969,-0.198370248,0.1525925,0.5188145,20.2242966,187.3734,139.105515,2.95691552e-05,0.0,100,90.25454,0.0,-0.210205078,-0.169189453,1.62695313,-0.18347168,-0.245178223,0.00341796875,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
0.2,-212.7666775,-139.08462447873643,-1.0100817786700778,0.07629625,-0.9918513,0.427259,20.2243061,187.373642,139.105515,2.95691552e-05,0.0,100,90.25454,0.0,-0.2084961,-0.148681641,1.62182617,-0.193359375,-0.24041748,0.0068359375,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
0.25,-212.76663739999998,-139.08459447873642,-1.0100817786545953,0.01525925,0.183111,0.366222,20.2243462,187.373672,139.105515,2.95691552e-05,0.0,100,90.25454,0.0,-0.21875,-0.181152344,1.62353516,-0.190063477,-0.24041748,0.00341796875,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
0.3,-212.76664699999998,-139.08494447872042,-1.01011277883523,0.01525925,0.6561478,0.305185,20.2243366,187.373322,139.105484,2.95691552e-05,0.0,100,90.25454,0.0,-0.205078125,-0.152099609,1.6184082,-0.188964844,-0.246765137,0.0068359375,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
0.35,-212.766687,-139.08488347873643,-1.0100817788037422,-0.167851746,0.3357035,0.366222,20.2242966,187.373383,139.105515,2.95691552e-05,0.0,100,90.25454,0.0,-0.203369141,-0.155517578,1.62353516,-0.202148438,-0.2364502,0.013671875,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
0.4,-212.7666775,-139.08468547873642,-1.0100817787015586,-0.061037,-0.7019255,0.5798515,20.2243061,187.373581,139.105515,2.95691552e-05,0.0,100,90.25454,0.0,-0.210205078,-0.177734375,1.62011719,-0.194458008,-0.24597168,0.0068359375,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
0.45,-212.766626,-139.0847314787204,-1.0101127787253052,0.01525925,-0.305185,0.183111,20.2243576,187.373535,139.105484,2.95691552e-05,0.0,100,90.25454,0.0,-0.206787109,-0.160644531,1.61669922,-0.191162109,-0.2420044,0.0068359375,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
